station_id,weather_date,sunny_rate,cloudy_rate,rainny_rate
5,1111-03-01,28.6,14.3,42.9
5,1111-03-02,53.6,14.3,17.9
5,1111-03-03,71.4,10.7,3.6
5,1111-03-04,57.1,3.6,21.4
5,1111-03-05,60.7,10.7,21.4
5,1111-03-06,50,21.4,25
5,1111-03-07,53.6,7.1,25
5,1111-03-08,60.7,10.7,17.9
5,1111-03-09,60.7,3.6,25
5,1111-03-10,46.4,14.3,32.1
5,1111-03-11,64.3,14.3,14.3
5,1111-03-12,67.9,14.3,10.7
5,1111-03-13,64.3,21.4,7.1
5,1111-03-14,67.9,7.1,17.9
5,1111-03-15,50,7.1,35.7
5,1111-03-16,53.6,3.6,39.3
5,1111-03-17,60.7,7.1,25
5,1111-03-18,67.9,3.6,25
5,1111-03-19,71.4,10.7,17.9
5,1111-03-20,50,25,21.4
5,1111-03-21,53.6,14.3,28.6
5,1111-03-22,46.4,7.1,46.4
5,1111-03-23,39.3,17.9,42.9
5,1111-03-24,50,17.9,32.1
5,1111-03-25,46.4,0,53.6
5,1111-03-26,57.1,17.9,17.9
5,1111-03-27,57.1,10.7,25
5,1111-03-28,60.7,17.9,21.4
5,1111-03-29,67.9,7.1,21.4
5,1111-03-30,46.4,10.7,39.3
5,1111-03-31,50,10.7,35.7
5,1111-04-01,57.1,21.4,21.4
5,1111-04-02,42.9,17.9,32.1
5,1111-04-03,53.6,14.3,32.1
5,1111-04-04,60.7,10.7,28.6
5,1111-04-05,64.3,3.6,32.1
5,1111-04-06,75,3.6,21.4
5,1111-04-07,35.7,14.3,50
5,1111-04-08,53.6,14.3,28.6
5,1111-04-09,64.3,7.1,28.6
5,1111-04-10,50,25,25
5,1111-04-11,35.7,14.3,50
5,1111-04-12,50,14.3,35.7
5,1111-04-13,50,25,25
5,1111-04-14,39.3,14.3,46.4
5,1111-04-15,57.1,14.3,28.6
5,1111-04-16,57.1,25,17.9
5,1111-04-17,53.6,0,42.9
5,1111-04-18,35.7,39.3,25
5,1111-04-19,28.6,17.9,53.6
5,1111-04-20,46.4,21.4,32.1
5,1111-04-21,32.1,35.7,32.1
5,1111-04-22,50,7.1,42.9
5,1111-04-23,53.6,17.9,28.6
5,1111-04-24,39.3,21.4,39.3
5,1111-04-25,35.7,14.3,50
5,1111-04-26,50,17.9,32.1
5,1111-04-27,46.4,25,28.6
5,1111-04-28,46.4,14.3,39.3
5,1111-04-29,57.1,21.4,21.4
5,1111-04-30,53.6,7.1,39.3
5,1111-05-01,53.6,17.9,28.6
5,1111-05-02,46.4,14.3,39.3
5,1111-05-03,39.3,21.4,39.3
5,1111-05-04,39.3,21.4,39.3
5,1111-05-05,60.7,17.9,21.4
5,1111-05-06,42.9,28.6,28.6
5,1111-05-07,53.6,17.9,28.6
5,1111-05-08,50,14.3,35.7
5,1111-05-09,35.7,28.6,35.7
5,1111-05-10,46.4,14.3,39.3
5,1111-05-11,35.7,10.7,53.6
5,1111-05-12,32.1,32.1,35.7
5,1111-05-13,42.9,14.3,42.9
5,1111-05-14,53.6,17.9,28.6
5,1111-05-15,46.4,10.7,42.9
5,1111-05-16,39.3,25,35.7
5,1111-05-17,35.7,28.6,35.7
5,1111-05-18,42.9,25,32.1
5,1111-05-19,39.3,10.7,50
5,1111-05-20,35.7,21.4,42.9
5,1111-05-21,71.4,10.7,17.9
5,1111-05-22,53.6,17.9,28.6
5,1111-05-23,39.3,25,35.7
5,1111-05-24,35.7,14.3,50
5,1111-05-25,50,21.4,28.6
5,1111-05-26,42.9,32.1,25
5,1111-05-27,25,28.6,46.4
5,1111-05-28,50,25,25
5,1111-05-29,39.3,32.1,28.6
5,1111-05-30,35.7,21.4,42.9
5,1111-05-31,32.1,21.4,46.4
5,1111-06-01,64.3,10.7,25
5,1111-06-02,46.4,28.6,25
5,1111-06-03,46.4,21.4,32.1
5,1111-06-04,39.3,32.1,28.6
5,1111-06-05,35.7,39.3,25
5,1111-06-06,39.3,17.9,42.9
5,1111-06-07,28.6,42.9,28.6
5,1111-06-08,28.6,42.9,28.6
5,1111-06-09,21.4,35.7,42.9
5,1111-06-10,14.3,39.3,46.4
5,1111-06-11,14.3,42.9,42.9
5,1111-06-12,25,35.7,39.3
5,1111-06-13,10.7,39.3,50
5,1111-06-14,14.3,32.1,53.6
5,1111-06-15,21.4,39.3,39.3
5,1111-06-16,35.7,25,39.3
5,1111-06-17,25,50,25
5,1111-06-18,32.1,32.1,35.7
5,1111-06-19,14.3,32.1,53.6
5,1111-06-20,21.4,25,53.6
5,1111-06-21,17.9,39.3,42.9
5,1111-06-22,32.1,21.4,46.4
5,1111-06-23,17.9,42.9,39.3
5,1111-06-24,17.9,42.9,39.3
5,1111-06-25,25,32.1,42.9
5,1111-06-26,17.9,39.3,42.9
5,1111-06-27,39.3,39.3,21.4
5,1111-06-28,14.3,42.9,42.9
5,1111-06-29,28.6,35.7,35.7
5,1111-06-30,28.6,35.7,35.7
5,1111-07-01,21.4,28.6,50
5,1111-07-02,35.7,21.4,42.9
5,1111-07-03,28.6,32.1,39.3
5,1111-07-04,28.6,10.7,60.7
5,1111-07-05,25,32.1,42.9
5,1111-07-06,32.1,39.3,28.6
5,1111-07-07,21.4,35.7,42.9
5,1111-07-08,28.6,39.3,32.1
5,1111-07-09,35.7,25,39.3
5,1111-07-10,42.9,21.4,35.7
5,1111-07-11,28.6,32.1,39.3
5,1111-07-12,35.7,35.7,28.6
5,1111-07-13,21.4,35.7,42.9
5,1111-07-14,39.3,25,35.7
5,1111-07-15,42.9,21.4,35.7
5,1111-07-16,28.6,42.9,28.6
5,1111-07-17,17.9,42.9,39.3
5,1111-07-18,21.4,39.3,39.3
5,1111-07-19,42.9,35.7,21.4
5,1111-07-20,39.3,39.3,21.4
5,1111-07-21,35.7,42.9,21.4
5,1111-07-22,39.3,46.4,14.3
5,1111-07-23,35.7,39.3,25
5,1111-07-24,53.6,17.9,28.6
5,1111-07-25,32.1,32.1,35.7
5,1111-07-26,39.3,25,35.7
5,1111-07-27,50,21.4,28.6
5,1111-07-28,42.9,39.3,17.9
5,1111-07-29,21.4,46.4,32.1
5,1111-07-30,39.3,25,35.7
5,1111-07-31,57.1,17.9,25
5,1111-08-01,35.7,35.7,28.6
5,1111-08-02,42.9,46.4,10.7
5,1111-08-03,57.1,25,17.9
5,1111-08-04,57.1,25,17.9
5,1111-08-05,46.4,39.3,14.3
5,1111-08-06,50,25,25
5,1111-08-07,57.1,21.4,21.4
5,1111-08-08,50,32.1,17.9
5,1111-08-09,53.6,25,21.4
5,1111-08-10,50,21.4,28.6
5,1111-08-11,50,25,25
5,1111-08-12,25,35.7,39.3
5,1111-08-13,46.4,28.6,25
5,1111-08-14,53.6,14.3,32.1
5,1111-08-15,35.7,39.3,25
5,1111-08-16,42.9,17.9,39.3
5,1111-08-17,42.9,28.6,28.6
5,1111-08-18,50,32.1,17.9
5,1111-08-19,50,32.1,17.9
5,1111-08-20,35.7,42.9,21.4
5,1111-08-21,42.9,28.6,28.6
5,1111-08-22,46.4,21.4,32.1
5,1111-08-23,39.3,28.6,32.1
5,1111-08-24,53.6,17.9,28.6
5,1111-08-25,71.4,10.7,17.9
5,1111-08-26,46.4,21.4,32.1
5,1111-08-27,35.7,39.3,25
5,1111-08-28,39.3,32.1,28.6
5,1111-08-29,50,21.4,28.6
5,1111-08-30,25,39.3,35.7
5,1111-08-31,50,14.3,35.7
5,1111-09-01,39.3,17.9,42.9
5,1111-09-02,46.4,39.3,14.3
5,1111-09-03,57.1,25,17.9
5,1111-09-04,46.4,17.9,35.7
5,1111-09-05,46.4,28.6,25
5,1111-09-06,28.6,35.7,35.7
5,1111-09-07,17.9,28.6,53.6
5,1111-09-08,39.3,25,35.7
5,1111-09-09,57.1,14.3,28.6
5,1111-09-10,50,25,25
5,1111-09-11,32.1,28.6,39.3
5,1111-09-12,50,17.9,32.1
5,1111-09-13,50,21.4,28.6
5,1111-09-14,53.6,14.3,32.1
5,1111-09-15,42.9,17.9,39.3
5,1111-09-16,39.3,32.1,28.6
5,1111-09-17,39.3,21.4,39.3
5,1111-09-18,46.4,21.4,32.1
5,1111-09-19,50,14.3,35.7
5,1111-09-20,50,25,25
5,1111-09-21,42.9,14.3,42.9
5,1111-09-22,35.7,10.7,53.6
5,1111-09-23,35.7,25,39.3
5,1111-09-24,42.9,21.4,35.7
5,1111-09-25,35.7,25,39.3
5,1111-09-26,28.6,25,46.4
5,1111-09-27,39.3,39.3,21.4
5,1111-09-28,57.1,14.3,28.6
5,1111-09-29,42.9,25,32.1
5,1111-09-30,28.6,14.3,57.1
5,1111-10-01,25,21.4,53.6
5,1111-10-02,53.6,14.3,32.1
5,1111-10-03,57.1,17.9,25
5,1111-10-04,32.1,39.3,28.6
5,1111-10-05,17.9,28.6,53.6
5,1111-10-06,39.3,17.9,42.9
5,1111-10-07,50,25,21.4
5,1111-10-08,35.7,17.9,46.4
5,1111-10-09,57.1,0,42.9
5,1111-10-10,64.3,21.4,14.3
5,1111-10-11,35.7,35.7,28.6
5,1111-10-12,57.1,17.9,25
5,1111-10-13,42.9,25,32.1
5,1111-10-14,42.9,14.3,42.9
5,1111-10-15,39.3,17.9,42.9
5,1111-10-16,46.4,21.4,32.1
5,1111-10-17,35.7,28.6,35.7
5,1111-10-18,64.3,14.3,21.4
5,1111-10-19,46.4,17.9,35.7
5,1111-10-20,57.1,14.3,28.6
5,1111-10-21,53.6,14.3,32.1
5,1111-10-22,42.9,25,32.1
5,1111-10-23,42.9,21.4,35.7
5,1111-10-24,57.1,10.7,32.1
5,1111-10-25,53.6,17.9,28.6
5,1111-10-26,57.1,17.9,25
5,1111-10-27,57.1,3.6,39.3
5,1111-10-28,64.3,3.6,32.1
5,1111-10-29,46.4,10.7,42.9
5,1111-10-30,53.6,28.6,17.9
5,1111-10-31,53.6,32.1,14.3
5,1111-11-01,57.1,7.1,35.7
5,1111-11-02,67.9,10.7,21.4
5,1111-11-03,67.9,17.9,14.3
5,1111-11-04,71.4,14.3,14.3
5,1111-11-05,78.6,14.3,7.1
5,1111-11-06,60.7,3.6,35.7
5,1111-11-07,53.6,25,21.4
5,1111-11-08,57.1,17.9,25
5,1111-11-09,64.3,10.7,25
5,1111-11-10,57.1,21.4,21.4
5,1111-11-11,50,17.9,32.1
5,1111-11-12,50,21.4,28.6
5,1111-11-13,71.4,10.7,17.9
5,1111-11-14,53.6,10.7,35.7
5,1111-11-15,46.4,17.9,35.7
5,1111-11-16,75,17.9,7.1
5,1111-11-17,57.1,25,17.9
5,1111-11-18,71.4,14.3,14.3
5,1111-11-19,67.9,7.1,25
5,1111-11-20,57.1,3.6,39.3
5,1111-11-21,71.4,7.1,21.4
5,1111-11-22,60.7,14.3,25
5,1111-11-23,53.6,25,21.4
5,1111-11-24,75,14.3,7.1
5,1111-11-25,67.9,3.6,28.6
5,1111-11-26,60.7,10.7,28.6
5,1111-11-27,75,10.7,14.3
5,1111-11-28,60.7,21.4,17.9
5,1111-11-29,71.4,10.7,17.9
5,1111-11-30,71.4,10.7,17.9
5,1111-12-01,57.1,7.1,32.1
5,1111-12-02,60.7,7.1,32.1
5,1111-12-03,64.3,14.3,21.4
5,1111-12-04,71.4,7.1,21.4
5,1111-12-05,60.7,10.7,28.6
5,1111-12-06,71.4,14.3,14.3
5,1111-12-07,71.4,10.7,17.9
5,1111-12-08,60.7,14.3,17.9
5,1111-12-09,75,7.1,10.7
5,1111-12-10,75,7.1,14.3
5,1111-12-11,71.4,0,28.6
5,1111-12-12,71.4,10.7,17.9
5,1111-12-13,75,7.1,17.9
5,1111-12-14,67.9,14.3,17.9
5,1111-12-15,85.7,7.1,7.1
5,1111-12-16,85.7,3.6,3.6
5,1111-12-17,75,7.1,17.9
5,1111-12-18,67.9,7.1,14.3
5,1111-12-19,85.7,3.6,10.7
5,1111-12-20,71.4,10.7,14.3
5,1111-12-21,78.6,7.1,10.7
5,1111-12-22,75,7.1,17.9
5,1111-12-23,82.1,3.6,14.3
5,1111-12-24,85.7,3.6,7.1
5,1111-12-25,78.6,7.1,7.1
5,1111-12-26,71.4,3.6,14.3
5,1111-12-27,71.4,0,17.9
5,1111-12-28,78.6,3.6,17.9
5,1111-12-29,78.6,3.6,10.7
5,1111-12-30,82.1,0,10.7
5,1111-12-31,75,7.1,3.6
6,1111-01-01,79.3,6.9,0
6,1111-01-02,89.7,3.4,0
6,1111-01-03,89.7,0,0
6,1111-01-04,86.2,0,6.9
6,1111-01-05,86.2,3.4,0
6,1111-01-06,72.4,3.4,6.9
6,1111-01-07,75.9,3.4,6.9
6,1111-01-08,72.4,0,13.8
6,1111-01-09,62.1,0,10.3
6,1111-01-10,75.9,3.4,6.9
6,1111-01-11,86.2,10.3,0
6,1111-01-12,65.5,3.4,0
6,1111-01-13,72.4,3.4,6.9
6,1111-01-14,69,3.4,3.4
6,1111-01-15,69,3.4,6.9
6,1111-01-16,58.6,10.3,13.8
6,1111-01-17,55.2,20.7,6.9
6,1111-01-18,79.3,6.9,3.4
6,1111-01-19,79.3,6.9,0
6,1111-01-20,72.4,6.9,0
6,1111-01-21,48.3,3.4,10.3
6,1111-01-22,62.1,3.4,17.2
6,1111-01-23,58.6,3.4,6.9
6,1111-01-24,51.7,6.9,0
6,1111-01-25,82.8,0,6.9
6,1111-01-26,69,6.9,6.9
6,1111-01-27,69,6.9,6.9
6,1111-01-28,69,6.9,0
6,1111-01-29,65.5,10.3,3.4
6,1111-01-30,69,6.9,6.9
6,1111-01-31,69,3.4,3.4
6,1111-02-01,67.9,0,3.6
6,1111-02-02,75,3.6,3.6
6,1111-02-03,67.9,3.6,3.6
6,1111-02-04,82.1,3.6,0
6,1111-02-05,82.1,0,3.6
6,1111-02-06,60.7,3.6,7.1
6,1111-02-07,85.7,3.6,3.6
6,1111-02-08,60.7,3.6,3.6
6,1111-02-09,64.3,3.6,7.1
6,1111-02-10,71.4,7.1,10.7
6,1111-02-11,78.6,0,7.1
6,1111-02-12,64.3,3.6,7.1
6,1111-02-13,71.4,14.3,3.6
6,1111-02-14,71.4,3.6,10.7
6,1111-02-15,57.1,10.7,7.1
6,1111-02-16,57.1,3.6,14.3
6,1111-02-17,60.7,10.7,7.1
6,1111-02-18,50,7.1,7.1
6,1111-02-19,67.9,7.1,3.6
6,1111-02-20,60.7,3.6,14.3
6,1111-02-21,64.3,7.1,10.7
6,1111-02-22,57.1,21.4,7.1
6,1111-02-23,64.3,0,17.9
6,1111-02-24,60.7,10.7,3.6
6,1111-02-25,60.7,7.1,7.1
6,1111-02-26,57.1,17.9,14.3
6,1111-02-27,67.9,10.7,10.7
6,1111-02-28,67.9,7.1,14.3
6,1111-03-01,35.7,14.3,28.6
6,1111-03-02,57.1,10.7,14.3
6,1111-03-03,67.9,3.6,3.6
6,1111-03-04,60.7,7.1,14.3
6,1111-03-05,60.7,7.1,14.3
6,1111-03-06,64.3,14.3,7.1
6,1111-03-07,53.6,10.7,10.7
6,1111-03-08,57.1,21.4,7.1
6,1111-03-09,57.1,3.6,17.9
6,1111-03-10,53.6,14.3,14.3
6,1111-03-11,64.3,14.3,10.7
6,1111-03-12,50,25,10.7
6,1111-03-13,67.9,14.3,10.7
6,1111-03-14,75,3.6,17.9
6,1111-03-15,57.1,17.9,17.9
6,1111-03-16,53.6,14.3,28.6
6,1111-03-17,67.9,7.1,17.9
6,1111-03-18,60.7,14.3,14.3
6,1111-03-19,57.1,21.4,17.9
6,1111-03-20,57.1,17.9,21.4
6,1111-03-21,71.4,3.6,14.3
6,1111-03-22,53.6,7.1,35.7
6,1111-03-23,46.4,10.7,35.7
6,1111-03-24,39.3,17.9,35.7
6,1111-03-25,46.4,0,46.4
6,1111-03-26,50,14.3,25
6,1111-03-27,57.1,10.7,28.6
6,1111-03-28,60.7,10.7,25
6,1111-03-29,60.7,17.9,14.3
6,1111-03-30,42.9,14.3,39.3
6,1111-03-31,53.6,7.1,35.7
6,1111-04-01,50,17.9,25
6,1111-04-02,46.4,14.3,32.1
6,1111-04-03,53.6,25,21.4
6,1111-04-04,50,17.9,21.4
6,1111-04-05,64.3,7.1,28.6
6,1111-04-06,75,7.1,17.9
6,1111-04-07,35.7,10.7,53.6
6,1111-04-08,53.6,7.1,35.7
6,1111-04-09,64.3,7.1,25
6,1111-04-10,50,25,21.4
6,1111-04-11,35.7,17.9,42.9
6,1111-04-12,53.6,14.3,28.6
6,1111-04-13,50,14.3,35.7
6,1111-04-14,50,14.3,35.7
6,1111-04-15,57.1,14.3,28.6
6,1111-04-16,53.6,21.4,21.4
6,1111-04-17,53.6,7.1,35.7
6,1111-04-18,42.9,21.4,35.7
6,1111-04-19,39.3,28.6,32.1
6,1111-04-20,50,17.9,32.1
6,1111-04-21,32.1,32.1,35.7
6,1111-04-22,53.6,17.9,28.6
6,1111-04-23,50,21.4,28.6
6,1111-04-24,42.9,21.4,35.7
6,1111-04-25,39.3,14.3,46.4
6,1111-04-26,53.6,17.9,28.6
6,1111-04-27,57.1,21.4,21.4
6,1111-04-28,64.3,3.6,32.1
6,1111-04-29,67.9,10.7,21.4
6,1111-04-30,50,14.3,35.7
6,1111-05-01,39.3,21.4,39.3
6,1111-05-02,50,14.3,35.7
6,1111-05-03,39.3,21.4,39.3
6,1111-05-04,46.4,21.4,32.1
6,1111-05-05,53.6,28.6,17.9
6,1111-05-06,42.9,39.3,17.9
6,1111-05-07,50,21.4,28.6
6,1111-05-08,42.9,28.6,28.6
6,1111-05-09,35.7,21.4,42.9
6,1111-05-10,39.3,21.4,39.3
6,1111-05-11,39.3,14.3,46.4
6,1111-05-12,28.6,28.6,42.9
6,1111-05-13,35.7,28.6,35.7
6,1111-05-14,53.6,21.4,25
6,1111-05-15,50,10.7,39.3
6,1111-05-16,35.7,21.4,42.9
6,1111-05-17,28.6,14.3,57.1
6,1111-05-18,46.4,21.4,32.1
6,1111-05-19,42.9,7.1,50
6,1111-05-20,46.4,14.3,39.3
6,1111-05-21,60.7,10.7,28.6
6,1111-05-22,50,21.4,28.6
6,1111-05-23,39.3,17.9,42.9
6,1111-05-24,28.6,21.4,50
6,1111-05-25,53.6,21.4,25
6,1111-05-26,39.3,32.1,28.6
6,1111-05-27,28.6,25,46.4
6,1111-05-28,32.1,39.3,28.6
6,1111-05-29,32.1,39.3,28.6
6,1111-05-30,35.7,10.7,53.6
6,1111-05-31,28.6,21.4,50
6,1111-06-01,53.6,17.9,28.6
6,1111-06-02,46.4,35.7,17.9
6,1111-06-03,46.4,21.4,32.1
6,1111-06-04,46.4,25,28.6
6,1111-06-05,35.7,17.9,46.4
6,1111-06-06,35.7,17.9,46.4
6,1111-06-07,39.3,17.9,42.9
6,1111-06-08,32.1,35.7,32.1
6,1111-06-09,17.9,42.9,39.3
6,1111-06-10,21.4,32.1,46.4
6,1111-06-11,7.1,32.1,60.7
6,1111-06-12,17.9,35.7,46.4
6,1111-06-13,17.9,28.6,53.6
6,1111-06-14,32.1,21.4,46.4
6,1111-06-15,32.1,25,42.9
6,1111-06-16,32.1,14.3,53.6
6,1111-06-17,32.1,42.9,25
6,1111-06-18,21.4,39.3,39.3
6,1111-06-19,21.4,28.6,50
6,1111-06-20,21.4,25,53.6
6,1111-06-21,14.3,32.1,53.6
6,1111-06-22,21.4,35.7,42.9
6,1111-06-23,7.1,35.7,57.1
6,1111-06-24,14.3,42.9,42.9
6,1111-06-25,10.7,50,39.3
6,1111-06-26,21.4,35.7,42.9
6,1111-06-27,28.6,28.6,42.9
6,1111-06-28,7.1,39.3,53.6
6,1111-06-29,10.7,35.7,53.6
6,1111-06-30,14.3,50,35.7
6,1111-07-01,10.7,32.1,57.1
6,1111-07-02,10.7,39.3,50
6,1111-07-03,17.9,32.1,50
6,1111-07-04,25,21.4,53.6
6,1111-07-05,14.3,32.1,53.6
6,1111-07-06,28.6,42.9,28.6
6,1111-07-07,14.3,50,35.7
6,1111-07-08,21.4,42.9,35.7
6,1111-07-09,21.4,39.3,39.3
6,1111-07-10,25,21.4,53.6
6,1111-07-11,28.6,28.6,42.9
6,1111-07-12,25,32.1,42.9
6,1111-07-13,14.3,39.3,46.4
6,1111-07-14,21.4,28.6,50
6,1111-07-15,28.6,25,46.4
6,1111-07-16,14.3,42.9,42.9
6,1111-07-17,10.7,28.6,60.7
6,1111-07-18,17.9,25,57.1
6,1111-07-19,21.4,39.3,39.3
6,1111-07-20,28.6,46.4,25
6,1111-07-21,28.6,35.7,35.7
6,1111-07-22,14.3,50,35.7
6,1111-07-23,32.1,32.1,35.7
6,1111-07-24,28.6,25,46.4
6,1111-07-25,25,28.6,46.4
6,1111-07-26,21.4,39.3,39.3
6,1111-07-27,39.3,32.1,28.6
6,1111-07-28,25,42.9,32.1
6,1111-07-29,32.1,21.4,46.4
6,1111-07-30,25,35.7,39.3
6,1111-07-31,46.4,17.9,35.7
6,1111-08-01,42.9,21.4,35.7
6,1111-08-02,28.6,39.3,32.1
6,1111-08-03,32.1,32.1,35.7
6,1111-08-04,57.1,21.4,21.4
6,1111-08-05,32.1,28.6,39.3
6,1111-08-06,35.7,17.9,46.4
6,1111-08-07,32.1,28.6,39.3
6,1111-08-08,35.7,28.6,35.7
6,1111-08-09,46.4,21.4,32.1
6,1111-08-10,39.3,25,35.7
6,1111-08-11,32.1,32.1,35.7
6,1111-08-12,39.3,14.3,46.4
6,1111-08-13,17.9,60.7,21.4
6,1111-08-14,39.3,25,35.7
6,1111-08-15,32.1,28.6,39.3
6,1111-08-16,32.1,10.7,57.1
6,1111-08-17,39.3,21.4,39.3
6,1111-08-18,39.3,21.4,39.3
6,1111-08-19,35.7,28.6,35.7
6,1111-08-20,21.4,46.4,32.1
6,1111-08-21,32.1,28.6,39.3
6,1111-08-22,25,35.7,39.3
6,1111-08-23,28.6,28.6,42.9
6,1111-08-24,17.9,42.9,39.3
6,1111-08-25,35.7,32.1,32.1
6,1111-08-26,25,25,50
6,1111-08-27,28.6,35.7,35.7
6,1111-08-28,35.7,32.1,32.1
6,1111-08-29,32.1,32.1,35.7
6,1111-08-30,17.9,25,57.1
6,1111-08-31,32.1,14.3,53.6
6,1111-09-01,35.7,21.4,42.9
6,1111-09-02,28.6,32.1,39.3
6,1111-09-03,42.9,25,32.1
6,1111-09-04,17.9,28.6,53.6
6,1111-09-05,50,25,25
6,1111-09-06,17.9,35.7,46.4
6,1111-09-07,10.7,35.7,53.6
6,1111-09-08,32.1,17.9,50
6,1111-09-09,42.9,25,32.1
6,1111-09-10,39.3,28.6,32.1
6,1111-09-11,28.6,25,46.4
6,1111-09-12,39.3,21.4,39.3
6,1111-09-13,32.1,28.6,39.3
6,1111-09-14,28.6,28.6,42.9
6,1111-09-15,25,35.7,39.3
6,1111-09-16,25,35.7,39.3
6,1111-09-17,35.7,7.1,57.1
6,1111-09-18,42.9,28.6,28.6
6,1111-09-19,46.4,21.4,32.1
6,1111-09-20,42.9,17.9,39.3
6,1111-09-21,39.3,17.9,42.9
6,1111-09-22,32.1,17.9,50
6,1111-09-23,35.7,28.6,35.7
6,1111-09-24,35.7,21.4,42.9
6,1111-09-25,32.1,25,42.9
6,1111-09-26,35.7,10.7,53.6
6,1111-09-27,35.7,28.6,35.7
6,1111-09-28,46.4,21.4,32.1
6,1111-09-29,46.4,28.6,25
6,1111-09-30,17.9,25,57.1
6,1111-10-01,21.4,25,53.6
6,1111-10-02,46.4,10.7,42.9
6,1111-10-03,42.9,35.7,21.4
6,1111-10-04,28.6,42.9,28.6
6,1111-10-05,10.7,35.7,53.6
6,1111-10-06,32.1,25,42.9
6,1111-10-07,35.7,35.7,28.6
6,1111-10-08,28.6,21.4,50
6,1111-10-09,46.4,21.4,32.1
6,1111-10-10,57.1,25,17.9
6,1111-10-11,32.1,35.7,32.1
6,1111-10-12,53.6,14.3,32.1
6,1111-10-13,42.9,32.1,25
6,1111-10-14,42.9,14.3,42.9
6,1111-10-15,46.4,14.3,39.3
6,1111-10-16,42.9,32.1,25
6,1111-10-17,42.9,25,32.1
6,1111-10-18,57.1,25,17.9
6,1111-10-19,42.9,35.7,21.4
6,1111-10-20,39.3,21.4,39.3
6,1111-10-21,50,28.6,21.4
6,1111-10-22,42.9,28.6,28.6
6,1111-10-23,35.7,28.6,35.7
6,1111-10-24,57.1,14.3,28.6
6,1111-10-25,57.1,14.3,28.6
6,1111-10-26,53.6,21.4,25
6,1111-10-27,64.3,10.7,25
6,1111-10-28,57.1,14.3,28.6
6,1111-10-29,64.3,17.9,17.9
6,1111-10-30,57.1,14.3,28.6
6,1111-10-31,53.6,32.1,14.3
6,1111-11-01,64.3,7.1,28.6
6,1111-11-02,57.1,17.9,25
6,1111-11-03,71.4,14.3,14.3
6,1111-11-04,78.6,10.7,10.7
6,1111-11-05,75,14.3,10.7
6,1111-11-06,64.3,7.1,28.6
6,1111-11-07,64.3,17.9,17.9
6,1111-11-08,53.6,28.6,17.9
6,1111-11-09,57.1,14.3,28.6
6,1111-11-10,57.1,17.9,25
6,1111-11-11,50,17.9,32.1
6,1111-11-12,53.6,25,21.4
6,1111-11-13,75,14.3,10.7
6,1111-11-14,60.7,14.3,25
6,1111-11-15,53.6,10.7,35.7
6,1111-11-16,78.6,10.7,10.7
6,1111-11-17,64.3,10.7,25
6,1111-11-18,71.4,14.3,14.3
6,1111-11-19,71.4,3.6,25
